tiempo_ms,tiempo_s,temperatura_c,temperatura_k,presion_hpa,densidad_kg_m3,altitud_estimada_m
237495,237.495,20.93,294.08,1019.79,1.208057784157215,-54.2795490036602
237638,237.638,20.93,294.08,1019.78,1.2080459380145372,-54.19676821162536
237816,237.816,20.92,294.07,1019.81,1.208122557867961,-54.4451086156818
237966,237.966,20.92,294.07,1019.81,1.208122557867961,-54.4451086156818
238109,238.109,20.91,294.06,1019.8,1.208151795139062,-54.362329138342396
238252,238.252,20.9,294.04999999999995,1019.78,1.2081691870474924,-54.19676821162536
238396,238.396,20.9,294.04999999999995,1019.78,1.2081691870474924,-54.19676821162536
238539,238.539,20.89,294.03999999999996,1019.76,1.2081865801388847,-54.031204655468244
238683,238.683,20.88,294.03,1019.74,1.2082039744133597,-53.865638469762764
238826,238.826,20.88,294.03,1019.76,1.2082276707276047,-54.031204655468244
238968,238.968,20.86,294.01,1019.77,1.2083217092536864,-54.113986762228045
239112,239.112,20.85,294.0,1019.76,1.2083509592654342,-54.031204655468244
239255,239.255,20.85,294.0,1019.79,1.2083865073637887,-54.2795490036602
239398,239.398,20.85,294.0,1019.8,1.2083983567299068,-54.362329138342396
239542,239.542,20.84,293.98999999999995,1019.8,1.2084394601129038,-54.362329138342396
239685,239.685,20.84,293.98999999999995,1019.81,1.2084513098820755,-54.4451086156818
239827,239.827,20.84,293.98999999999995,1019.8,1.2084394601129038,-54.362329138342396
239971,239.971,20.84,293.98999999999995,1019.8,1.2084394601129038,-54.362329138342396
240121,240.121,20.83,293.97999999999996,1019.82,1.2085042666367443,-54.52788743570794
240265,240.265,20.83,293.97999999999996,1019.84,1.208527966981249,-54.693443103800725
240408,240.408,20.83,293.97999999999996,1019.79,1.2084687161199874,-54.2795490036602
240551,240.551,20.82,293.96999999999997,1019.79,1.208509824692839,-54.2795490036602
240695,240.695,20.82,293.96999999999997,1019.82,1.2085453764189205,-54.52788743570794
240837,240.837,20.81,293.96,1019.8,1.208562787041069,-54.362329138342396
240980,240.98,20.81,293.96,1019.79,1.2085509360625728,-54.2795490036602
241124,241.124,20.8,293.95,1019.79,1.2085920502294738,-54.2795490036602
241267,241.267,20.8,293.95,1019.79,1.2085920502294738,-54.2795490036602
241410,241.41,20.77,293.91999999999996,1019.79,1.208715409516038,-54.2795490036602
241554,241.554,20.76,293.90999999999997,1019.78,1.2087446818798786,-54.19676821162536
241697,241.697,20.75,293.9,1019.8,1.2088095164293726,-54.362329138342396
241840,241.84,20.75,293.9,1019.8,1.2088095164293726,-54.362329138342396
241983,241.983,20.74,293.89,1019.79,1.2088387939873892,-54.2795490036602
242126,242.126,20.73,293.88,1019.79,1.208879927742459,-54.2795490036602
242270,242.27,20.74,293.89,1019.79,1.2088387939873892,-54.2795490036602
242420,242.42,20.73,293.88,1019.8,1.208891781947028,-54.362329138342396
